Menu/MLP_logo_file	ru/RUS_MLP_logo.png
Mainstreet/Q5/EV_07/MS_Q5_EV_07_10_CVS_PaintShop_07	А мне бы хотелось примерить шлемы стражника, они такие классные...
Mainstreet/Q5/EV_07/MS_Q5_EV_07_11_CVS_PaintShop_08	Может, найдешь мне шлем?
Mainstreet/Q5/EV_07/MS_Q5_EV_07_12_CVS_SN_04	Понятно. Шлем стражника-пегаса. Я найду его!
Mainstreet/Q5/EV_08/MS_Q5_EV_08_01_CVS_FashionPony_01	Какой сказочный наряд тебе подобрать?
Mainstreet/Q5/EV_08/MS_Q5_EV_08_02_CVS_SN_01	Мне нужен шлем стражника.
Mainstreet/Q5/EV_08/MS_Q5_EV_08_03_CVS_FashionPony_02	Шлем стражника! Прекрасный выбор!
Mainstreet/Q5/EV_08/MS_Q5_EV_08_04_CVS_FashionPony_03	У меня есть такой шлем, но...
Mainstreet/Q5/EV_08/MS_Q5_EV_08_05_CVS_SN_02	Но тебе нужно что-то взамен...
Mainstreet/Q5/EV_08/MS_Q5_EV_08_06_CVS_FashionPony_04	Сегодня же День Игогойского залива!
Mainstreet/Q5/EV_08/MS_Q5_EV_08_07_CVS_FashionPony_05	Все, что я хочу, — это сказочный красный цветок.
Mainstreet/Q5/EV_08/MS_Q5_EV_08_08_CVS_SN_03	Сказочный красный цветок? По рукам. Я его найду!
Mainstreet/Q5/EV_09/MS_Q5_EV_09_01_CVS_FlowerShop_01	Тебе нужен красный цветок?
Mainstreet/Q5/EV_09/MS_Q5_EV_09_02_CVS_SN_01	Я что угодно отдам в обмен.
Mainstreet/Q5/EV_09/MS_Q5_EV_09_03_CVS_FlowerShop_02	Ах! Я не против помочь, но у меня уже не осталось красных цветов.
Mainstreet/Q5/EV_09/MS_Q5_EV_09_04_CVS_FlowerShop_03	Зато у меня еще есть семена красных цветов, посаженные в вот этих горшках.
Mainstreet/Q5/EV_09/MS_Q5_EV_09_05_CVS_SN_02	Знаешь... Я могу их вырастить с помощью магии... Если ты не против...
Mainstreet/Q5/EV_09/MS_Q5_EV_09_06_CVS_FlowerShop_04	Совсем не против! Вот, попробуй на этих.
Mainstreet/Q5/EV_10/MS_Q5_EV_10_01_GP_FlowerShop_01	Магия прекрасна, правда? На здоровье!
Mainstreet/Q5/EV_11/MS_Q5_EV_11_01_GP_FashionPony_01	Замечательный цветок! Вот, держи. Совершенно новый шлем.
Mainstreet/Q5/EV_12/MS_Q5_EV_12_01_CVS_PaintShop_01	Посмотри на этот шлем! Дай-ка примерить...
Mainstreet/Q5/EV_12/MS_Q5_EV_12_02_CVS_SN_01	Классно выглядит!
Mainstreet/Q5/EV_12/MS_Q5_EV_12_03_CVS_PaintShop_02	Правда? «За Эквестрию!!»
Mainstreet/Q5/EV_12/MS_Q5_EV_12_04_CVS_SN_02	Ага... «За Эквестрию»...
Mainstreet/Q5/EV_12/MS_Q5_EV_12_05_CVS_PaintShop_03	Обмен есть обмен! Вот розовая краска.
Mainstreet/Q5/EV_13/MS_Q5_EV_13_01_GP_SN_03	Прекрасно. Начнем чинить рекламный щит прямо сейчас!
Mainstreet/Q5/EV_14/MS_Q5_EV_14_01_GP_SN_01	У нас на руках все подсказки. Надо поговорить со Спраутом.
Mainstreet/Q5/EV_15/MS_Q5_EV_15_01_GP_SN_01	А мне нравится эта серия обменов. Теперь в магазин красок!
Mainstreet/Q5/MID_01/MS_Q5_MID_01_01_GP_Sprout_01	Нужно больше подсказок. Продолжай опрос.
Mainstreet/Q5/MID_02/MS_Q5_MID_02_01_CVS_IZ_01	Все пони готовятся ко Дню Игогойского залива. Киоск, который тебе нужен, где-то рядом!
Mainstreet/Q5/MID_03/MS_Q5_MID_03_01_CVS_Thunder_01	Что? Мой шлем? Да ни за что. Проси кого-нибудь другого.
Mainstreet/Q5/MID_04/MS_Q5_MID_04_01_CVS_FashionPony_01	У какого-нибудь пони поблизости наверняка есть цветы, детка.
Mainstreet/Q5/MID_05/MS_Q5_MID_05_01_GP_PaintShop_01	Возвращайся, когда найдешь шлем.
Mainstreet/Q5/MID_06/MS_Q5_MID_06_01_CVS_PP_01	Пожалуйста, помоги мне очистить мой образ! (В буквальном смысле)
Mainstreet/Q5/MID_06/MS_Q5_MID_06_02_CVS_PP_02	Никто не придет, если у меня будет ТАКОЕ лицо
Mainstreet/Q5/MID_06/MS_Q5_MID_06_03_CVS_SN_01	Ничего страшного! Мы всё мигом исправим. Не успеешь сказать «малиновая жвачка».
Mainstreet/Q5/MID_07/MS_Q5_MID_07_01_CVS_IZ_01	Хорошо! Скорее, к рекламному щиту — пора пони-чинить!
Mainstreet/Q5/POST_01/MS_Q5_POST_01_01_CVS_IZ_01	Ого-го! Загривный проспект выглядит так изысканно, правда?
Mainstreet/Q5/POST_02/MS_Q5_POST_02_01_CVS_PaintShop_01	Краска! Лучшие цвета Игогойского залива!
Mainstreet/Q5/POST_03/MS_Q5_POST_03_01_CVS_FashionPony_01	Наряды для Дня Игогойского залива! Наряжайтесь и сверкайте!
Mainstreet/Q5/POST_04/MS_Q5_POST_04_01_CVS_FlowerShop_01	Горшки и семена! Растите красивые цветы любого цвета!
Mainstreet/Q5/POST_05/MS_Q5_POST_05_01_CVS_Sprout_01	Ты нашла Иззи?
Mainstreet/Q5/POST_05/MS_Q5_POST_05_02_CVS_SN_01	Иззи ничего плохого не сделала!
Mainstreet/Q5/POST_05/MS_Q5_POST_05_03_CVS_Sprout_02	Это мы еще посмотрим. Что-то здесь не так...
Mainstreet/Q5/PRE_01/MS_Q5_PRE_01_01_CVS_IZ_01	Ого-го! Загривный проспект выглядит так изысканно, правда?
Mainstreet/Q5/PRE_02/MS_Q5_PRE_02_01_CVS_PaintShop_01	Краска! Лучшие цвета Игогойского залива!
Mainstreet/Q5/PRE_03/MS_Q5_PRE_03_01_CVS_FashionPony_01	Наряды для Дня Игогойского залива! Наряжайтесь и сверкайте!
Mainstreet/Q5/PRE_04/MS_Q5_PRE_04_01_CVS_FlowerShop_01	Горшки и семена! Растите красивые цветы любого цвета!
Mainstreet/Q5/START/MS_Q5_START_01_CS_PP_01	
Mainstreet/Q5/START/MS_Q5_START_02_CS_SN_01	Пиппа! Что случилось?
Mainstreet/Q5/START/MS_Q5_START_03_CS_PP_02	Что случилось? Все плохо!
Mainstreet/Q5/START/MS_Q5_START_04_CS_PP_03	Мой прекрасный рекламный щит уничтожен!
Mainstreet/Q5/START/MS_Q5_START_05_CS_PP_04	Теперь на мое шоу не придет ни один пони!
Mainstreet/Q5/START/MS_Q5_START_06_CS_Sprout_01	Возмутительно! В Игогойском заливе небезопасно!
Mainstreet/Q5/START/MS_Q5_START_07_CS_PP_05	Кто же мог это сделать?!
Mainstreet/Q5/START/MS_Q5_START_08_CS_Sprout_02	Какой-то пони пытается испортить нам праздник... Мы должны найти его!
Mainstreet/Q5/START/MS_Q5_START_09_CS_Sprout_03	Или ее...
Mainstreet/Q5/START/MS_Q5_START_10_CS_PP_06	Или ее??
Mainstreet/Q5/START/MS_Q5_START_11_CS_Sprout_04	Под подозрением абсолютно ВСЕ!
Mainstreet/Q5/START/MS_Q5_START_12_CS_SN_02	
Mainstreet/Q5/START/MS_Q5_START_13_CS_Sprout_05	Кто-то, наверное, видел, как это произошло!
Mainstreet/Q5/START/MS_Q5_START_14_CS_Sprout_06	Опроси всех пони в округе.
Mainstreet/Q5/START/MS_Q5_START_15_CS_SN_03	Так и сделаю!
Mainstreet/Q5/TOOFAR/MS_Q5_TOOFAR_01_GP_SN_01	Я сейчас не могу, у меня дела!
Mainstreet/Q6/COMP/MS_Q6_COMP_01_CVS_Primrose_01	Большое спасибо!
Mainstreet/Q6/COMP/MS_Q6_COMP_02_CVS_SN_01	Это же смузи. Легкотня.
Mainstreet/Q6/COMP/MS_Q6_COMP_03_CVS_Primrose_02	Нет... Спасибо за то, что вдохновила меня быть самой собой.
Mainstreet/Q6/COMP/MS_Q6_COMP_04_CVS_SN_02	Лучше этого ничего не может быть.
Mainstreet/Q6/COMP/MS_Q6_COMP_05_CVS_SN_03	И помни: он ОБОЖАЕТ кроликов.
Mainstreet/Q6/COMP/MS_Q6_COMP_06_CVS_Primrose_03	Кролики, ага! Может отнести эту одежду Пиппе?
Mainstreet/Q6/COMP/MS_Q6_COMP_07_CVS_Primrose_04	Она ей больше пригодится, чем мне.
Mainstreet/Q6/COMP/MS_Q6_COMP_08_CVS_SN_04	Конечно! Она знаток моды.
Mainstreet/Q6/EV_01/MS_Q6_EV_01_01_CVS_SN_01	Эй! Это ты Примроза?
Mainstreet/Q6/EV_01/MS_Q6_EV_01_02_CVS_Primrose_01	О... Нет! Примроза... Ушла. Растворилась.
Mainstreet/Q6/EV_01/MS_Q6_EV_01_03_CVS_SN_02	Это ты! Примроза!
Mainstreet/Q6/EV_01/MS_Q6_EV_01_04_CVS_Primrose_02	Да! Это я! Но я не могу пойти на шоу!
Mainstreet/Q6/EV_01/MS_Q6_EV_01_05_CVS_SN_03	Почему? Что-то случилось?
Mainstreet/Q6/EV_01/MS_Q6_EV_01_06_CVS_Primrose_03	Просто... Мне нечего надеть!
Mainstreet/Q6/EV_01/MS_Q6_EV_01_07_CVS_SN_04	Всего-то? Я найду тебе что-нибудь красивое.
Mainstreet/Q6/EV_01/MS_Q6_EV_01_08_CVS_Primrose_04	Правда? Мне нужно три вещи.
Mainstreet/Q6/EV_01/MS_Q6_EV_01_09_CVS_SN_05	Три? Решено!
Mainstreet/Q6/EV_02/MS_Q6_EV_02_01_GP_ShopKeeper1_01	Для шоу Пиппы. Это особенный наряд.
Mainstreet/Q6/EV_03/MS_Q6_EV_03_01_GP_ShopKeeper2_01	Наряд для пони-подиума. Одну секундочку!
Mainstreet/Q6/EV_04/MS_Q6_EV_04_01_GP_ShopKeeper3_01	Ты получишь море комплиментов.
Mainstreet/Q6/EV_05/MS_Q6_EV_05_01_GP_SN_01	У меня есть все, что нужно. Пора вернуться к Примрозе.
Mainstreet/Q6/EV_06/MS_Q6_EV_06_01_CVS_Primrose_01	О... Ты их достала?
Mainstreet/Q6/EV_06/MS_Q6_EV_06_02_CVS_SN_01	Да! Теперь ты можешь выступить на шоу!
Mainstreet/Q6/EV_06/MS_Q6_EV_06_03_CVS_Primrose_02	Но... Я не могу. Нет! Я не могу, не могу!
Mainstreet/Q6/EV_06/MS_Q6_EV_06_04_CVS_SN_02	Что? Но почему же?
Mainstreet/Q6/EV_06/MS_Q6_EV_06_05_CVS_Primrose_03	Потому! А что, если ему они не понравятся?
Mainstreet/Q6/EV_06/MS_Q6_EV_06_06_CVS_SN_03	Ему? Кому это, ему?
Mainstreet/Q6/EV_06/MS_Q6_EV_06_07_CVS_Primrose_04	Хитчу! Кому еще! Он так добр ко всем пони, так участлив, такой... каким только он может быть.
Mainstreet/Q6/EV_06/MS_Q6_EV_06_08_CVS_SN_04	О... Понятно. Но Хитч ничего не понимает в моде!
Mainstreet/Q6/EV_06/MS_Q6_EV_06_09_CVS_Primrose_05	Разве? Ты... уверена?
Mainstreet/Q6/EV_06/MS_Q6_EV_06_10_CVS_SN_05	Да. Ему больше по душе пасти кроликов и все такое.
Mainstreet/Q6/EV_06/MS_Q6_EV_06_11_CVS_Primrose_06	А я думала, что наряжусь для на пони-подиума и понравлюсь ему...
Mainstreet/Q6/EV_06/MS_Q6_EV_06_12_CVS_Primrose_07	Но я стесняюсь.
Mainstreet/Q6/EV_06/MS_Q6_EV_06_13_CVS_SN_06	Почему? Не стоит!
Mainstreet/Q6/EV_06/MS_Q6_EV_06_14_CVS_SN_07	Ты идеальна! Именно такая, какая ты есть.
Mainstreet/Q6/EV_06/MS_Q6_EV_06_15_CVS_Primrose_08	Правда?
Mainstreet/Q6/EV_06/MS_Q6_EV_06_16_CVS_SN_08	Да! Просто будь собой.
Mainstreet/Q6/EV_06/MS_Q6_EV_06_17_CVS_SN_09	Можешь просто подойти к нему и сказать: «Привет»!
Mainstreet/Q6/EV_06/MS_Q6_EV_06_18_CVS_Primrose_09	Ну, не знаю... Я... Было бы проще, будь у меня причина к нему подойти.
Mainstreet/Q6/EV_06/MS_Q6_EV_06_19_CVS_SN_10	А что, если ты просто предложишь ему поделиться смузи?
Mainstreet/Q6/EV_06/MS_Q6_EV_06_20_CVS_Primrose_10	Ну, наверное, это хорошая причина...
Mainstreet/Q6/EV_06/MS_Q6_EV_06_21_CVS_SN_11	Он ОБОЖАЕТ смузи из пряной тыквы!
Mainstreet/Q6/EV_06/MS_Q6_EV_06_22_CVS_Primrose_11	Можешь достать мне такой?
Mainstreet/Q6/EV_06/MS_Q6_EV_06_23_CVS_SN_12	Да! Я буду твоим смузи-мейкером!
Mainstreet/Q6/EV_06/MS_Q6_EV_06_24_CVS_SN_13	Но моя тележка со смузи в магазине! Где же я сейчас найду смузи?
Mainstreet/Q6/EV_07/MS_Q6_EV_07_01_CVS_SN_01	Привет! У меня сломался холодильник для смузи...
Mainstreet/Q6/EV_07/MS_Q6_EV_07_02_CVS_SN_02	Можешь угостить меня парочкой смузи? Я буду у тебя в долгу!
Mainstreet/Q6/EV_07/MS_Q6_EV_07_03_CVS_SmoothieShop_01	Конечно, Санни, не вопрос! Что ты хочешь?
Mainstreet/Q6/EV_07/MS_Q6_EV_07_04_CVS_SN_03	Отлично! Два смузи из пряной тыквы, пожалуйста!
Mainstreet/Q6/EV_07/MS_Q6_EV_07_05_CVS_SmoothieShop_02	О нет!! Эти я сделать не могу... У меня закончился тыквенный крем!
Mainstreet/Q6/EV_07/MS_Q6_EV_07_06_CVS_SmoothieShop_03	Если принесешь мне парочку тыкв, то я их тебе сделаю.
Mainstreet/Q6/EV_08/MS_Q6_EV_08_01_GP_SmoothieShop_01	Смузи из пряной тыквы. Одну секундочку!
Mainstreet/Q6/EV_09/MS_Q6_EV_09_01_GP_SN_01	Тыквы у меня. Пора обратно в магазин смузи!
Mainstreet/Q6/EV_10/MS_Q6_EV_10_01_GP_SN_01	Нужно встретиться с Пиппой и рассказать ей последние новости...
Mainstreet/Q6/MID_01/MS_Q6_MID_01_01_CVS_PP_01	Ты уже нашла Примрозу?
Mainstreet/Q6/MID_01/MS_Q6_MID_01_02_CVS_PP_02	Ах, Примроза как всегда! Она наверняка где-нибудь прячется.
Mainstreet/Q6/MID_02/MS_Q6_MID_02_01_GP_Primrose_05	Спроси в магазинах. Я заказала три вещи для шоу.
Mainstreet/Q6/MID_03/MS_Q6_MID_03_01_GP_Primrose_01	Кажется, рядом есть передвижной киоск со смузи...
Mainstreet/Q6/MID_04/MS_Q6_MID_04_01_CVS_SmoothieShop_01	Смузи! Вкуснейшие смузи!
Mainstreet/Q6/POST_01/MS_Q6_POST_01_01_CVS_SmoothieShop_01	Смузи! Вкуснейшие смузи!
Mainstreet/Q6/POST_02/MS_Q6_POST_02_01_GP_ShopKeeper1_01	Пипп-пипп-парад должен быть потрясающим
Mainstreet/Q6/POST_03/MS_Q6_POST_03_01_GP_ShopKeeper2_01	Принцесса Пиппа умеет устроить отличное шоу
Mainstreet/Q6/POST_04/MS_Q6_POST_04_01_GP_ShopKeeper3_01	Сначала мне не нравилось обмениваться, но кажется, я к этом уже привыкаю.
Mainstreet/Q6/PRE_01/MS_Q6_PRE_01_01_CVS_SmoothieShop_01	Смузи! Вкуснейшие смузи!
Mainstreet/Q6/PRE_02/MS_Q6_PRE_02_01_GP_ShopKeeper1_01	Самый писк моды Зефирных гор!
Mainstreet/Q6/PRE_03/MS_Q6_PRE_03_01_GP_ShopKeeper2_01	Единорогам трудно подобрать шляпу — они все протыкают.
Mainstreet/Q6/PRE_04/MS_Q6_PRE_04_01_GP_ShopKeeper3_01	Шелк и модная одежда из Гривландии!
Mainstreet/Q6/START/MS_Q6_START_01_CVS_PP_01	Ты узнала, кто испортил мой рекламный щит?
Mainstreet/Q6/START/MS_Q6_START_02_CVS_SN_01	Вообще-то... нет.
Mainstreet/Q6/START/MS_Q6_START_03_CVS_PP_02	Ладно. Зато сейчас хорошо выглядит. Это главное.
Mainstreet/Q6/START/MS_Q6_START_04_CVS_PP_03	Санни! Все уже собрались, но чего-то не хватает...
Mainstreet/Q6/START/MS_Q6_START_05_CVS_PP_04	Примроза!! Она у меня на подтанцовке!!
Mainstreet/Q6/START/MS_Q6_START_06_CVS_PP_05	Какое же шоу без танцоров?! Найдешь ее?
Mainstreet/Q6/START/MS_Q6_START_07_CVS_SN_02	Конечно! Где она может быть?
Mainstreet/Q6/START/MS_Q6_START_08_CVS_PP_06	Не знаю. Она любит прятаться... И еще любит смузи!
Mainstreet/Q6/START/MS_Q6_START_09_CVS_SN_03	Я найду ее.
Mainstreet/Q6/START/MS_Q6_START_10_CVS_PP_07	Шоу должно продолжаться!
Mainstreet/Q6/TOOFAR/MS_Q6_TOOFAR_01_GP_SN_01	Это еще не все!
Mainstreet/Q7/COMP/MS_Q7_COMP_01_CVS_HC_01	Ты. Только. Посмотри! Даже значок Дня Игогойского залива есть!
Mainstreet/Q7/COMP/MS_Q7_COMP_02_CS_HC_01	Ты готова гоняться за кроликами?
Mainstreet/Q7/COMP/MS_Q7_COMP_03_CS_HC_02	Пойдем в городской парк.
Mainstreet/Q7/COMP/MS_Q7_COMP_04_CS_BH_01	
Mainstreet/Q7/EV_01/MS_Q7_EV_01_01_GP_HC_01	Прости, Санни. Но я не могу тебя пустить без значка Дня Игогойского залива!
Mainstreet/Q7/EV_01/MS_Q7_EV_01_02_GP_HC_02	Чемпионат по пастушьим навыкам — серьезное занятие.
Mainstreet/Q7/EV_01/MS_Q7_EV_01_03_GP_HC_03	Найти волшебное зеркало и приложи к нему медаль.
Mainstreet/Q7/POST_01/MS_Q7_POST_01_01_CVS_HC_01	Ага, эти кролики иногда такие смешные вещи говорят!
Mainstreet/Q7/POST_01/MS_Q7_POST_01_02_CVS_Primrose_01	Расскажи мне о них все, что знаешь, шериф Хитч!
Mainstreet/Q7/POST_01/MS_Q7_POST_01_03_CVS_HC_02	Ну... Конечно! Зови меня просто Хитчем.
Mainstreet/Q7/POST_01/MS_Q7_POST_01_04_CVS_Primrose_02	А, ладно... Хитч...
Mainstreet/Q7/POST_01/MS_Q7_POST_01_05_CVS_SN_01	
Mainstreet/Q7/START/MS_Q7_START_01_CVS_HC_01	Ты не сможешь попасть в городской парк, пока не получишь медаль Дня Игогойского залива.
Mainstreet/Q7/START/MS_Q7_START_02_CVS_HC_02	А Пиппе нужна помощь в подготовке ее шоу.
Mainstreet/SS/EV_01/MS_SS_EV_01_01_CGP_Sprout_01	Граждане Игогойского залива!
Mainstreet/SS/EV_01/MS_SS_EV_01_02_CGP_Sprout_02	Повода для паники нет!
Mainstreet/SS/EV_01/MS_SS_EV_01_03_CGP_Sprout_03	Но времена настали по-настоящему страшные.
Mainstreet/SS/EV_01/MS_SS_EV_01_04_CGP_Sprout_04	В городе у нас появился не один, а целых ДВА преступника!
Mainstreet/SS/EV_01/MS_SS_EV_01_05_CGP_Sprout_05	Мы расследуем это дело. А пока все, что я могу сказать на данный момент...
Mainstreet/SS/EV_01/MS_SS_EV_01_06_CGP_Sprout_06	Это то, что эти преступники не из Игогойского залива.
Mainstreet/SS/EV_01/MS_SS_EV_01_07_CGP_Sprout_07	Ни один из них не является достойным уважения Земным пони.
Mainstreet/SS/EV_01/MS_SS_EV_01_08_CGP_Sprout_08	Нет повода для паники.
Mainstreet/SS/EV_01/MS_SS_EV_01_09_CGP_Sprout_09	Но будьте настороже!
Mainstreet/SS/EV_02/MS_SS_EV_02_10_GP_Crowd1_01	Мне страшно!
Mainstreet/SS/EV_03/MS_SS_EV_03_11_GP_Crowd2_01	Что же делать?
Mainstreet/SS/EV_04/MS_SS_EV_04_01_GP_Sprout_01	Мы не можем допустить, чтобы такое случилось еще раз.
Mainstreet/SS/EV_04/MS_SS_EV_04_02_GP_Sprout_02	Мы привлечем преступников к ответственности.
TownPark/MC/ACCEPTED/TP_MC_ACCEPTED_01_CVS_HC_01	Отлично! Но тебе еще далеко до моего рекорда.
TownPark/MC/ACCEPTED/TP_MC_ACCEPTED_02_CVS_SN_01	Посмотрим, дружок.
TownPark/MC/COMP/TP_MC_COMP_01_CS_HC_01	Ого, Санни, ты... Прекрасно справилась!
TownPark/MC/COMP/TP_MC_COMP_02_CS_SN_01	Ты удивлен?
TownPark/MC/COMP/TP_MC_COMP_03_CS_HC_02	Я? Ну...
TownPark/MC/COMP/TP_MC_COMP_04_CS_SN_02	Ну скажи!
TownPark/MC/COMP/TP_MC_COMP_05_CS_HC_03	Ну, ладно... Может быть совсем чуть-чуть.
TownPark/MC/COMP/TP_MC_COMP_06_CS_SN_03	Ха-ха, еще бы!
TownPark/MC/COMP/TP_MC_COMP_07_CS_Sprout_01	Шериф Хитч.
TownPark/MC/COMP/TP_MC_COMP_08_CS_Sprout_02	Над городом снова нависла жуткая угроза.
TownPark/MC/COMP/TP_MC_COMP_09_CS_HC_04	Да, и что за угроза?
TownPark/MC/COMP/TP_MC_COMP_10_CS_Sprout_03	Разъяренные зайчики столпились на Загривном.
TownPark/MC/COMP/TP_MC_COMP_11_CS_Sprout_04	Они загородили проход к Пляжной бухте.
TownPark/MC/COMP/TP_MC_COMP_12_CS_HC_04	Я проверю, но вряд ли так проблемы.
TownPark/MC/COMP/TP_MC_COMP_13_CS_Sprout_05	О, еще какие проблемы, шериф Хитч.
TownPark/MC/COMP/TP_MC_COMP_14_CS_HC_05	Можешь проверить, Санни? Я догоню тебя.
TownPark/MC/COMP/TP_MC_COMP_15_CS_SN_05	Да, шериф Хитч.
TownPark/MC/COMP/TP_MC_COMP_16_CS_HC_06	Ах!
TownPark/MC/DECLINED/TP_MC_DECLINED_01_CVS_SN_01	Пока нет. У меня еще есть дела.
TownPark/MC/DECLINED/TP_MC_DECLINED_02_CVS_HC_01	Возвращайся, когда будешь готова стать пастухом!
TownPark/MC/EV_01/TP_MC_EV_01_01_GP_SN_01	Нужно вернуться на Загривный проспект и узнать, что не так с этими кроликами.
TownPark/MC/EV_02/TP_MC_EV_02_01_GP_Sprout_01	Не туда! К Загривному проспекту надо идти в ОБРАТНОМ направлении!
TownPark/MC/EV_03/TP_MC_EV_03_01_GP_SN_01	Пожалуй, нужно вернуться на Загривный проспект.
TownPark/MC/POST_01/TP_MC_POST_01_01_GP_IZ_01	Загривный проспект? Пройди мимо рекламного щита и будешь на месте. Не промахнешься!
TownPark/MC/QUESTION/TP_MC_QUESTION_01_CVS_HC_01	Кто готов стать пастухом?
TownPark/MC/REPACPTD/TP_MC_REPACPTD_01_CVS_SN_01	Давай погоняем других существ!
TownPark/MC/REPDCLND/TP_MC_REPDCLND_01_CVS_SN_01	Неа, мне нужно отдохнуть от кроликов...
TownPark/MC/REPEAT/TP_MC_REPEAT_01_CVS_HC_01	Хочешь снова побыть пастухом?
TownPark/MC/START/TP_MC_START_01_CVS_HC_01	Наконец настал тот час!
TownPark/MC/START/TP_MC_START_02_CVS_HC_02	Добро пожаловать на совершенно новые Пастушьи бега за кроликами и крабами!
TownPark/MC/START/TP_MC_START_03_CVS_HC_03	Чем больше кроликов и крабов ты загонишь в ворота, чем больше очков наберешь.
TownPark/MC/START/TP_MC_START_04_CVS_HC_04	Только учти, крабы любят прятаться в лужах грязи!
TownPark/Q10/COMP/TP_Q10_COMP_01_CVS_HC_01	Классно, Санни! У тебя хорошо получается.
TownPark/Q10/COMP/TP_Q10_COMP_02_CVS_HC_02	Крабы подали мне идею...
TownPark/Q10/COMP/TP_Q10_COMP_03_CVS_SN_01	Хм-м-м...
TownPark/Q10/EV_01/TP_Q10_EV_01_01_GP_HC_01	Только обходи лужи грязи — крабы обожают в них прятаться!
TownPark/Q10/EV_02/TP_Q10_EV_02_01_GP_SN_01	Это было не так уж и плохо, правда, крабик?
TownPark/Q10/EV_03/TP_Q10_EV_03_01_GP_SN_01	Еще один!
TownPark/Q10/EV_04/TP_Q10_EV_04_01_GP_SN_01	И вот уже три!
TownPark/Q10/MID_01/TP_Q10_MID_01_01_GP_HC_01	В отличие от кроликов, которые бегут ОТ тебя, крабы наоборот, следуют за тобой.
TownPark/Q10/START/TP_Q10_START_01_CVS_HC_01	С животными происходит что-то странное.
TownPark/Q10/START/TP_Q10_START_02_CVS_HC_02	Три краба выползли с пляжа и добрались аж досюда.
TownPark/Q10/START/TP_Q10_START_03_CVS_HC_03	Можешь собрать их всех здесь, чтобы я мог за ними присмотреть?
TownPark/Q10/TOOFAR/TP_Q10_TOOFAR_01_GP_HC_01	Давай, Санни, собери крабов!
TownPark/Q12/ACCEPTED/TP_Q12_ACCEPTED_01_CVS_SN_01	Почему бы и нет!
TownPark/Q12/COMP/TP_Q12_COMP_01_CVS_Zoom_01	Неплохо, кадет! Ты уже практически летаешь.
TownPark/Q12/DECLINED/TP_Q12_DECLINED_01_CVS_SN_01	Может, попозже.
TownPark/Q12/POST_01/TP_Q12_POST_01_01_CVS_Zoom_01	Ты уже лучше справляешься, кадет!
TownPark/Q12/QUESTION/TP_Q12_QUESTION_01_CVS_Zoom_01	Хочешь пройти в них полосу препятствий?
TownPark/Q12/RETACPTD/TP_Q12_RETACPTD_01_CVS_SN_01	Мне нужно тренироваться!
TownPark/Q12/RETDCLND/TP_Q12_RETDCLND_01_CVS_SN_01	Нет, спасибо. Может, попозже.
TownPark/Q12/RETRY/TP_Q12_RETRY_01_CVS_Zoom_01	Ну... Попытка не пытка. Хочешь попробовать еще раз?
TownPark/Q12/START/TP_Q12_START_01_CVS_Zoom_01	Кадет Старскаут! Приветствую тебя снова!
TownPark/Q12/START/TP_Q12_START_02_CVS_Zoom_02	Вижу, ты используешь высокоскоростное оборудование?
TownPark/Q12/START/TP_Q12_START_03_CVS_SN_01	А, ты имеешь в виду мои...
TownPark/Q12/START/TP_Q12_START_04_CVS_Zoom_03	Ролики!
TownPark/Q8/COMP/TP_Q8_COMP_01_CVS_IZ_01	Огогошечки! Настоящий шедевр пони-починки!
TownPark/Q8/COMP/TP_Q8_COMP_02_CVS_HC_01	Намного лучше!
TownPark/Q8/COMP/TP_Q8_COMP_03_CVS_HC_02	Я у тебя такой красивый получился, да?
TownPark/Q8/COMP/TP_Q8_COMP_04_CVS_SN_01	Это было нелегко...
TownPark/Q8/COMP/TP_Q8_COMP_05_CVS_HC_03	Эй! Ну... Ладно, спасибо.
TownPark/Q8/EV_01/TP_Q8_EV_01_01_GP_SN_01	Виновный является пегасом... Странно.
TownPark/Q8/EV_02/TP_Q8_EV_02_01_GP_SN_01	У главного подозреваемого сверкающий белый мех.
TownPark/Q8/EV_03/TP_Q8_EV_03_01_GP_SN_01	И короткая грива красно-синего цвета.
TownPark/Q8/EV_04/TP_Q8_EV_04_01_CVS_ZP_01	У нас на руках все подсказки! Идеально!
TownPark/Q8/EV_04/TP_Q8_EV_04_02_CVS_ZP_02	Но это описание...
TownPark/Q8/EV_04/TP_Q8_EV_04_03_CVS_SN_01	Это же ты, Зипп!
TownPark/Q8/EV_04/TP_Q8_EV_04_04_CVS_ZP_03	Да меня здесь даже не было!
TownPark/Q8/EV_04/TP_Q8_EV_04_05_CVS_Sprout_01	Ага! Пегас может спокойно улететь с места преступления!
TownPark/Q8/EV_04/TP_Q8_EV_04_06_CVS_Sprout_02	Боюсь, я должен тебя арестовать.
TownPark/Q8/EV_04/TP_Q8_EV_04_07_CVS_ZP_04	Нет, ни за что! Прости!
TownPark/Q8/EV_04/TP_Q8_EV_04_08_CVS_Sprout_03	Ох! Разыскивается преступник!
TownPark/Q8/EV_04/TP_Q8_EV_04_09_CVS_Sprout_04	Мы должны защитить Игогойский залив от подобных нападений.
TownPark/Q8/EV_04/TP_Q8_EV_04_10_CVS_Sprout_05	Я предупрежу граждан об угрозе.
